INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('11732', '3.00'),
('15299', '19.00'),
('38168', '3.00'),
('41212', '17.00'),
('88027', '31.00'),
('38255', '9.00'),
('27618', '18.00'),
('36511', '8.00'),
('98865', '22.00'),
('20107', '35.00'),
('21094', '24.00'),
('12365', '37.00'),
('10210', '11.00'),
('97482', '17.00'),
('91892', '34.00'),
('30335', '24.00'),
('49109', '26.00'),
('87246', '19.00'),
('36874', '42.00'),
('77746', '8.00'),
('31428', '26.00'),
('20333', '9.00'),
('72768', '41.00'),
('43276', '20.00'),
('30147', '12.00'),
('79399', '41.00'),
('23709', '39.00'),
('71240', '34.00'),
('78092', '3.00'),
('22620', '16.00'),
('51214', '7.00'),
('30920', '16.00'),
('96437', '9.00'),
('31577', '27.00'),
('19779', '38.00'),
('63510', '26.00'),
('43434', '24.00'),
('31240', '21.00'),
('24416', '50.00'),
('50173', '34.00'),
('10034', '32.00'),
('25497', '49.00'),
('60370', '7.00'),
('71867', '36.00'),
('39313', '1.00'),
('98940', '16.00'),
('81047', '42.00'),
('49943', '21.00'),
('82733', '23.00'),
('99545', '10.00'),
('93534', '50.00'),
('62054', '37.00'),
('28896', '45.00'),
('77822', '12.00'),
('26482', '7.00'),
('77030', '19.00'),
('15819', '19.00'),
('52116', '26.00'),
('52320', '24.00'),
('16573', '41.00'),
('38512', '23.00'),
('77376', '18.00'),
('45580', '16.00'),
('55525', '5.00'),
('39349', '9.00'),
('91187', '14.00'),
('81717', '26.00'),
('86025', '23.00'),
('99706', '24.00'),
('63365', '44.00'),
('85734', '8.00'),
('17899', '16.00'),
('57951', '18.00'),
('61246', '25.00'),
('65269', '44.00'),
('70673', '32.00'),
('18865', '34.00'),
('34605', '24.00'),
('50874', '38.00'),
('41987', '4.00'),
('37517', '47.00'),
('32458', '22.00'),
('68411', '32.00'),
('10931', '4.00'),
('17124', '45.00'),
('38724', '25.00'),
('12278', '1.00'),
('70969', '31.00'),
('49009', '22.00'),
('17076', '33.00'),
('67035', '44.00'),
('70657', '8.00'),
('47540', '27.00'),
('43248', '23.00'),
('83561', '17.00'),
('32255', '28.00'),
('14864', '34.00'),
('72980', '25.00'),
('23202', '26.00'),
('54059', '49.00'),
('15252', '1.00'),
('29543', '14.00'),
('14483', '47.00'),
('98367', '39.00'),
('13577', '30.00'),
('50482', '33.00'),
('54372', '15.00'),
('71784', '36.00'),
('22589', '14.00'),
('13104', '2.00'),
('43149', '18.00'),
('50030', '2.00'),
('61714', '14.00'),
('99069', '47.00'),
('36924', '5.00'),
('95081', '29.00'),
('27106', '6.00'),
('85943', '40.00'),
('82368', '35.00'),
('38332', '48.00'),
('40450', '12.00'),
('47824', '30.00'),
('39776', '34.00'),
('19606', '28.00'),
('83619', '7.00'),
('80028', '44.00'),
('89835', '7.00'),
('50016', '3.00'),
('50787', '31.00'),
('25132', '29.00'),
('78216', '39.00'),
('91670', '1.00'),
('92058', '21.00'),
('80675', '47.00'),
('66454', '22.00'),
('56378', '37.00'),
('66006', '31.00'),
('55118', '22.00'),
('89437', '7.00'),
('39624', '2.00'),
('99677', '42.00'),
('67486', '35.00'),
('75014', '2.00'),
('80457', '49.00'),
('38959', '49.00'),
('41554', '8.00'),
('62149', '20.00'),
('72135', '12.00'),
('16680', '38.00'),
('58915', '49.00'),
('93197', '41.00'),
('45948', '36.00'),
('80749', '30.00'),
('17884', '9.00'),
('43881', '24.00'),
('37919', '25.00'),
('89169', '6.00'),
('44009', '40.00'),
('82157', '35.00'),
('43686', '48.00'),
('90031', '1.00'),
('66312', '26.00'),
('37139', '49.00'),
('13209', '28.00'),
('65977', '44.00'),
('19768', '12.00'),
('14013', '15.00'),
('62537', '18.00'),
('57377', '44.00'),
('31977', '27.00'),
('90153', '6.00'),
('98060', '6.00'),
('87707', '12.00'),
('53835', '36.00'),
('30853', '38.00'),
('45354', '17.00'),
('32200', '29.00'),
('76728', '36.00'),
('44022', '6.00'),
('98149', '16.00'),
('49665', '4.00'),
('12136', '24.00'),
('29848', '50.00'),
('14289', '29.00'),
('86644', '24.00'),
('64043', '23.00'),
('73999', '9.00'),
('80117', '25.00'),
('25580', '28.00'),
('81961', '20.00'),
('59802', '38.00'),
('81341', '3.00'),
('59513', '44.00'),
('87101', '29.00'),
('44455', '30.00'),
('15842', '6.00'),
('24210', '33.00'),
('53367', '31.00'),
('38782', '49.00'),
('92004', '45.00'),
('61970', '43.00'),
('21110', '50.00'),
('29182', '14.00'),
('40358', '1.00'),
('38655', '10.00'),
('16392', '23.00'),
('55330', '40.00'),
('17754', '31.00'),
('23158', '15.00'),
('69924', '17.00'),
('91035', '38.00'),
('56011', '7.00'),
('63293', '11.00'),
('71743', '31.00'),
('33670', '10.00'),
('81272', '31.00'),
('95814', '49.00'),
('80021', '36.00'),
('36408', '31.00'),
('21013', '46.00'),
('91416', '40.00'),
('39199', '14.00'),
('69406', '50.00'),
('38366', '9.00'),
('42383', '47.00'),
('32015', '36.00'),
('22079', '39.00'),
('89006', '30.00'),
('84009', '37.00'),
('48440', '30.00'),
('75917', '27.00'),
('20841', '13.00'),
('48488', '42.00'),
('38576', '4.00'),
('52960', '20.00'),
('31123', '32.00'),
('12957', '19.00'),
('56741', '37.00'),
('52843', '48.00'),
('52816', '27.00'),
('67487', '49.00'),
('76611', '4.00'),
('13849', '11.00'),
('63048', '19.00'),
('58761', '2.00'),
('86445', '48.00'),
('56877', '10.00'),
('23413', '49.00'),
('97903', '27.00'),
('65186', '13.00'),
('39225', '1.00'),
('67870', '40.00'),
('51511', '4.00'),
('47461', '5.00'),
('69818', '30.00'),
('95532', '48.00'),
('68488', '7.00'),
('48547', '47.00'),
('42440', '3.00'),
('22189', '6.00'),
('24041', '37.00'),
('66259', '27.00'),
('49207', '48.00'),
('57804', '31.00'),
('21150', '45.00'),
('49515', '31.00'),
('97373', '1.00'),
('54873', '40.00'),
('21594', '40.00'),
('33665', '9.00'),
('41494', '24.00'),
('23653', '39.00'),
('22351', '34.00'),
('36936', '35.00'),
('35690', '41.00'),
('22097', '36.00'),
('81650', '2.00'),
('16144', '28.00'),
('22728', '47.00'),
('77041', '34.00'),
('28560', '2.00'),
('43900', '17.00'),
('31133', '33.00'),
('37196', '39.00'),
('72302', '3.00'),
('39131', '17.00'),
('95400', '24.00'),
('35986', '29.00'),
('65243', '18.00'),
('68386', '6.00'),
('43738', '18.00'),
('50491', '2.00'),
('76455', '15.00'),
('46486', '39.00'),
('80809', '4.00'),
('51106', '15.00'),
('78964', '6.00'),
('67279', '29.00'),
('52234', '12.00'),
('98297', '38.00'),
('35366', '25.00'),
('53314', '27.00'),
('84326', '25.00'),
('46720', '1.00'),
('42152', '2.00'),
('65973', '45.00'),
('87917', '33.00'),
('67824', '11.00'),
('64254', '26.00'),
('22452', '15.00'),
('24852', '41.00'),
('97100', '47.00'),
('98644', '16.00'),
('34171', '36.00'),
('39663', '31.00'),
('99052', '43.00'),
('66262', '16.00'),
('38602', '7.00'),
('33154', '43.00'),
('79332', '29.00'),
('22053', '36.00'),
('67196', '47.00'),
('91525', '43.00'),
('53811', '13.00'),
('61319', '50.00'),
('27406', '39.00'),
('43568', '31.00'),
('84127', '50.00'),
('21797', '32.00'),
('44072', '44.00'),
('42514', '38.00'),
('89000', '23.00'),
('26234', '28.00'),
('63418', '50.00'),
('51268', '1.00'),
('88773', '43.00'),
('83696', '29.00'),
('71301', '32.00'),
('19868', '30.00'),
('33435', '35.00'),
('86602', '44.00'),
('78700', '24.00'),
('73631', '27.00'),
('90309', '4.00'),
('66923', '28.00'),
('74538', '32.00'),
('61272', '40.00'),
('74735', '42.00'),
('49013', '45.00'),
('22792', '49.00'),
('40004', '25.00'),
('34818', '17.00'),
('21530', '4.00'),
('73486', '46.00'),
('47493', '40.00'),
('95384', '46.00'),
('21469', '47.00'),
('59027', '40.00'),
('37120', '6.00'),
('84713', '29.00'),
('19156', '41.00'),
('39102', '14.00'),
('55594', '25.00'),
('60515', '32.00'),
('44410', '40.00'),
('94450', '23.00'),
('77068', '46.00'),
('54446', '22.00'),
('88401', '12.00'),
('71548', '30.00'),
('50286', '12.00'),
('13005', '2.00'),
('19971', '41.00'),
('18707', '20.00'),
('62770', '6.00'),
('30069', '28.00'),
('97636', '20.00'),
('41126', '8.00'),
('76444', '48.00'),
('72851', '15.00'),
('34880', '27.00'),
('47382', '48.00'),
('46891', '50.00'),
('11969', '23.00'),
('22795', '2.00'),
('97029', '28.00'),
('22686', '43.00'),
('57906', '13.00'),
('81946', '33.00'),
('96976', '33.00'),
('59016', '6.00'),
('96461', '24.00'),
('92235', '2.00'),
('13124', '1.00'),
('35689', '48.00'),
('85237', '14.00'),
('20581', '40.00'),
('36284', '35.00'),
('48611', '35.00'),
('58578', '45.00'),
('80491', '27.00'),
('79359', '7.00'),
('77083', '29.00'),
('42344', '2.00'),
('53480', '15.00'),
('70334', '50.00'),
('31463', '32.00'),
('65644', '12.00'),
('11576', '39.00'),
('36519', '33.00'),
('61899', '5.00'),
('45142', '22.00'),
('12832', '22.00'),
('76653', '13.00'),
('38036', '9.00'),
('78131', '48.00'),
('78025', '5.00'),
('82875', '45.00'),
('12262', '7.00'),
('20420', '30.00'),
('31256', '37.00'),
('84448', '4.00'),
('16821', '39.00'),
('14955', '31.00'),
('59736', '34.00'),
('46584', '43.00'),
('47883', '17.00'),
('42558', '2.00'),
('43358', '20.00'),
('21499', '35.00'),
('88112', '30.00'),
('54140', '48.00'),
('19444', '19.00'),
('36365', '18.00'),
('86810', '14.00'),
('76190', '33.00'),
('47857', '32.00'),
('49467', '43.00'),
('76726', '31.00'),
('96254', '22.00'),
('17436', '39.00'),
('74815', '1.00'),
('70989', '23.00'),
('43866', '24.00'),
('41849', '2.00'),
('63698', '34.00'),
('23407', '5.00'),
('82372', '2.00'),
('54283', '12.00'),
('22593', '24.00'),
('15843', '14.00'),
('46054', '11.00'),
('84786', '7.00'),
('49972', '37.00'),
('90798', '24.00'),
('28572', '16.00'),
('42163', '50.00'),
('59626', '12.00'),
('86663', '40.00'),
('28314', '25.00'),
('68460', '35.00'),
('24201', '22.00'),
('24662', '29.00'),
('41859', '22.00'),
('60721', '46.00'),
('41486', '22.00'),
('15991', '3.00'),
('90480', '37.00'),
('52821', '34.00'),
('75736', '21.00'),
('42491', '21.00'),
('85896', '24.00'),
('31745', '14.00'),
('53072', '47.00'),
('36136', '42.00'),
('90661', '4.00'),
('40249', '15.00'),
('41338', '1.00'),
('31898', '45.00'),
('42151', '35.00'),
('68037', '35.00'),
('42098', '3.00'),
('71492', '42.00'),
('19670', '42.00'),
('63561', '36.00'),
('43840', '5.00'),
('28467', '6.00'),
('68462', '26.00'),
('79041', '39.00'),
('87269', '39.00'),
('94370', '18.00'),
('76666', '32.00'),
('10863', '16.00'),
('15837', '36.00'),
('56776', '18.00'),
('25921', '45.00'),
('24454', '17.00'),
('23301', '37.00'),
('47582', '45.00'),
('74424', '28.00'),
('65515', '29.00'),
('57823', '13.00'),
('59791', '2.00'),
('40395', '9.00'),
('16968', '9.00'),
('45303', '4.00'),
('20257', '19.00'),
('19540', '46.00'),
('29133', '3.00'),
('57616', '7.00'),
('63862', '13.00'),
('25516', '30.00'),
('77191', '34.00'),
('13777', '19.00'),
('34928', '8.00'),
('76264', '25.00'),
('35938', '38.00'),
('77758', '27.00'),
('99752', '10.00'),
('40620', '23.00'),
('59665', '19.00'),
('69299', '12.00'),
('25461', '19.00'),
('68537', '27.00'),
('66873', '5.00'),
('19838', '1.00'),
('12813', '22.00'),
('66427', '40.00'),
('96515', '9.00'),
('58961', '13.00'),
('66189', '35.00'),
('65574', '39.00'),
('97284', '6.00'),
('93105', '44.00'),
('28712', '40.00'),
('86703', '29.00'),
('90960', '40.00'),
('91661', '3.00'),
('67118', '14.00'),
('60972', '18.00'),
('83405', '48.00'),
('46681', '9.00'),
('97840', '34.00'),
('64078', '20.00'),
('96481', '10.00'),
('79025', '24.00'),
('79701', '9.00'),
('40052', '45.00'),
('88427', '35.00'),
('58392', '44.00'),
('84328', '47.00'),
('35974', '4.00'),
('27397', '38.00'),
('16052', '38.00'),
('89645', '12.00'),
('79677', '19.00'),
('13195', '33.00'),
('58749', '47.00'),
('35201', '35.00'),
('90724', '34.00'),
('74828', '38.00'),
('17760', '34.00'),
('18505', '31.00'),
('58648', '40.00'),
('75648', '42.00'),
('48911', '4.00'),
('42224', '3.00'),
('18875', '3.00'),
('90126', '46.00'),
('78489', '38.00'),
('40393', '49.00'),
('29633', '3.00'),
('46083', '45.00'),
('30434', '32.00'),
('66586', '9.00'),
('76172', '30.00'),
('30481', '7.00'),
('47727', '45.00'),
('90671', '46.00'),
('32600', '16.00'),
('40328', '35.00'),
('78886', '13.00'),
('48551', '25.00'),
('82793', '18.00'),
('16075', '41.00'),
('54757', '37.00'),
('27367', '44.00'),
('59309', '20.00'),
('24736', '22.00'),
('84270', '23.00'),
('62217', '29.00'),
('16640', '21.00'),
('71945', '49.00'),
('76545', '25.00'),
('94890', '25.00'),
('79765', '23.00'),
('75782', '44.00'),
('63682', '38.00'),
('61827', '27.00'),
('38845', '12.00'),
('91219', '9.00'),
('62655', '41.00'),
('82378', '25.00'),
('33798', '10.00'),
('47537', '30.00'),
('77215', '41.00'),
('13999', '13.00'),
('81976', '42.00'),
('42496', '33.00'),
('91097', '31.00'),
('54143', '39.00'),
('59755', '23.00'),
('30593', '25.00'),
('44604', '42.00'),
('47788', '15.00'),
('54518', '4.00'),
('50362', '40.00'),
('60776', '1.00'),
('32991', '46.00'),
('10818', '13.00'),
('13640', '4.00'),
('19673', '44.00'),
('15533', '43.00'),
('79027', '32.00'),
('54236', '18.00'),
('35018', '30.00'),
('17902', '2.00'),
('48819', '17.00'),
('14894', '29.00'),
('69661', '32.00'),
('77131', '21.00'),
('45649', '45.00'),
('89508', '18.00'),
('86126', '14.00'),
('24620', '50.00'),
('73072', '39.00'),
('51965', '11.00'),
('89137', '25.00'),
('60963', '28.00'),
('57842', '36.00'),
('69416', '5.00'),
('27766', '28.00'),
('35862', '27.00'),
('56651', '45.00'),
('33379', '18.00'),
('90161', '3.00'),
('51758', '28.00'),
('23117', '48.00'),
('56209', '21.00'),
('36226', '19.00'),
('38616', '31.00'),
('42518', '2.00'),
('24186', '21.00'),
('82631', '33.00'),
('26603', '9.00'),
('22829', '6.00'),
('22095', '8.00'),
('54715', '25.00'),
('33194', '34.00'),
('54284', '32.00'),
('61204', '27.00'),
('94596', '23.00'),
('68589', '31.00'),
('72021', '29.00'),
('92504', '5.00'),
('34807', '32.00'),
('52268', '42.00'),
('37419', '13.00'),
('23517', '34.00'),
('48640', '36.00'),
('33577', '20.00'),
('65285', '14.00'),
('59114', '35.00'),
('42506', '18.00'),
('66199', '14.00'),
('98181', '6.00'),
('55176', '22.00'),
('55114', '4.00'),
('48678', '19.00'),
('94066', '44.00'),
('11105', '5.00'),
('51469', '50.00'),
('67043', '48.00'),
('96689', '34.00'),
('11114', '49.00'),
('21552', '37.00'),
('53865', '34.00'),
('28329', '7.00'),
('31123', '34.00'),
('83334', '31.00'),
('35942', '18.00'),
('12461', '13.00'),
('58595', '17.00'),
('20583', '29.00'),
('30783', '20.00'),
('29019', '49.00'),
('20531', '1.00'),
('86423', '38.00'),
('94145', '28.00'),
('19233', '7.00'),
('49717', '38.00'),
('18653', '34.00'),
('31955', '15.00'),
('21472', '4.00'),
('53380', '21.00'),
('43296', '49.00'),
('38809', '31.00'),
('81230', '14.00'),
('12914', '1.00'),
('67255', '34.00'),
('47800', '5.00'),
('20116', '18.00'),
('68766', '41.00'),
('90993', '5.00'),
('55883', '10.00'),
('29294', '49.00'),
('62726', '3.00'),
('47103', '43.00'),
('16460', '28.00'),
('65150', '40.00'),
('87603', '26.00'),
('26124', '22.00'),
('41265', '47.00'),
('90068', '14.00'),
('34295', '4.00'),
('52199', '41.00'),
('65844', '17.00'),
('88085', '11.00'),
('73628', '32.00'),
('21314', '27.00'),
('11577', '30.00'),
('12992', '20.00'),
('92426', '46.00'),
('29936', '18.00'),
('16341', '20.00'),
('93508', '17.00'),
('90111', '44.00'),
('56672', '7.00'),
('62749', '22.00'),
('10264', '19.00'),
('73415', '44.00'),
('49782', '31.00'),
('87999', '30.00'),
('87012', '24.00'),
('91831', '39.00'),
('68088', '49.00'),
('96977', '45.00'),
('63717', '36.00'),
('75896', '44.00'),
('13932', '49.00'),
('22160', '25.00'),
('72183', '11.00'),
('53952', '4.00'),
('36405', '1.00'),
('53563', '4.00'),
('78294', '39.00'),
('12829', '7.00'),
('87774', '29.00'),
('75247', '10.00'),
('39634', '46.00'),
('87412', '23.00'),
('24445', '41.00'),
('76812', '46.00'),
('79567', '19.00'),
('44139', '41.00'),
('43875', '43.00'),
('32070', '32.00'),
('20527', '8.00'),
('56660', '36.00'),
('67880', '23.00'),
('86744', '12.00'),
('19499', '40.00'),
('86796', '39.00'),
('18334', '41.00'),
('85994', '25.00'),
('25398', '4.00'),
('60533', '45.00'),
('53585', '4.00'),
('14215', '46.00'),
('69236', '11.00'),
('81130', '32.00'),
('18086', '16.00'),
('97038', '27.00'),
('83476', '17.00'),
('43342', '4.00'),
('69095', '16.00'),
('51512', '29.00'),
('64821', '30.00'),
('90663', '36.00'),
('23608', '1.00'),
('91283', '19.00'),
('51867', '18.00'),
('34027', '14.00'),
('66522', '32.00'),
('82711', '24.00'),
('31036', '5.00'),
('29028', '5.00'),
('36981', '50.00'),
('29356', '14.00'),
('62737', '14.00'),
('26038', '19.00'),
('77590', '7.00'),
('94178', '36.00'),
('64621', '17.00'),
('51054', '19.00'),
('98203', '40.00'),
('78793', '41.00'),
('98611', '29.00'),
('44617', '50.00'),
('56575', '22.00'),
('72661', '6.00'),
('84453', '25.00'),
('28369', '31.00'),
('54859', '21.00'),
('90827', '29.00'),
('59842', '38.00'),
('88128', '18.00'),
('40278', '36.00'),
('91863', '22.00'),
('38632', '3.00'),
('10732', '12.00'),
('77430', '39.00'),
('51735', '5.00'),
('65905', '35.00'),
('45803', '50.00'),
('25010', '40.00'),
('44739', '21.00'),
('29868', '35.00'),
('34580', '6.00'),
('32578', '9.00'),
('86557', '27.00'),
('27307', '45.00'),
('93489', '6.00'),
('89552', '45.00'),
('76640', '20.00'),
('92536', '32.00'),
('54683', '16.00'),
('74468', '5.00'),
('39251', '50.00'),
('45573', '3.00'),
('15339', '6.00'),
('67424', '50.00'),
('70047', '27.00'),
('17790', '19.00'),
('40868', '13.00'),
('95342', '3.00'),
('24326', '43.00'),
('61570', '40.00'),
('97804', '18.00'),
('16838', '36.00'),
('66415', '1.00'),
('23842', '44.00'),
('76291', '43.00'),
('56519', '17.00'),
('24964', '3.00'),
('53910', '25.00'),
('54326', '19.00'),
('14743', '14.00'),
('32122', '3.00'),
('83274', '50.00'),
('46281', '8.00'),
('97166', '16.00'),
('87148', '36.00'),
('93357', '5.00'),
('61562', '23.00'),
('13915', '44.00'),
('39532', '44.00'),
('62706', '28.00'),
('29347', '1.00'),
('99365', '11.00'),
('47474', '17.00'),
('12425', '26.00'),
('54778', '49.00'),
('47947', '45.00'),
('15660', '34.00'),
('79600', '28.00'),
('26923', '26.00'),
('50070', '10.00'),
('33606', '43.00'),
('43618', '44.00'),
('78886', '16.00'),
('35455', '46.00'),
('99383', '22.00'),
('26073', '6.00'),
('10717', '26.00'),
('97871', '44.00'),
('77303', '34.00'),
('59921', '11.00'),
('21424', '11.00'),
('91996', '40.00'),
('59039', '21.00'),
('33657', '31.00'),
('60246', '24.00'),
('10198', '22.00'),
('83955', '42.00'),
('57745', '11.00'),
('28431', '18.00'),
('13712', '30.00'),
('85289', '7.00'),
('57523', '9.00'),
('67243', '47.00'),
('26436', '7.00'),
('25974', '9.00'),
('28442', '42.00'),
('69721', '28.00'),
('75625', '44.00'),
('50100', '24.00'),
('29300', '32.00'),
('74626', '48.00'),
('23063', '24.00'),
('14203', '48.00'),
('42240', '35.00'),
('63516', '42.00'),
('52243', '4.00'),
('16171', '33.00'),
('77704', '26.00'),
('39323', '46.00'),
('51613', '21.00'),
('26498', '28.00'),
('81959', '41.00'),
('34926', '2.00'),
('45959', '17.00'),
('19900', '28.00'),
('13862', '18.00'),
('10623', '44.00'),
('17059', '8.00'),
('39690', '9.00'),
('44578', '36.00'),
('99846', '45.00'),
('37482', '45.00'),
('41756', '8.00'),
('81971', '49.00'),
('21013', '40.00'),
('75746', '4.00'),
('19056', '49.00'),
('74776', '42.00'),
('93852', '2.00'),
('49392', '50.00'),
('77106', '20.00'),
('59105', '21.00'),
('88362', '4.00'),
('65891', '17.00'),
('64308', '46.00'),
('64843', '4.00'),
('99612', '37.00'),
('92666', '6.00'),
('19590', '19.00'),
('23120', '5.00'),
('41003', '24.00'),
('40448', '19.00'),
('37472', '7.00'),
('17231', '16.00'),
('62654', '46.00'),
('52418', '38.00'),
('69217', '42.00'),
('75412', '4.00'),
('85367', '14.00'),
('49041', '39.00'),
('83210', '6.00'),
('47683', '17.00'),
('66695', '29.00'),
('49001', '45.00'),
('27591', '49.00'),
('87509', '5.00'),
('47159', '6.00'),
('12964', '15.00'),
('36982', '1.00'),
('88963', '19.00'),
('72929', '4.00'),
('12514', '35.00'),
('22151', '21.00'),
('28144', '13.00'),
('37903', '4.00'),
('85867', '18.00'),
('87106', '28.00'),
('54960', '48.00'),
('72575', '2.00'),
('30468', '7.00'),
('76165', '27.00'),
('91328', '29.00'),
('14266', '16.00'),
('27902', '48.00'),
('17741', '27.00'),
('35098', '32.00'),
('26444', '10.00'),
('82433', '45.00'),
('42128', '13.00'),
('76337', '2.00'),
('96262', '7.00'),
('28505', '5.00'),
('23816', '3.00'),
('20811', '29.00'),
('11526', '24.00'),
('30521', '18.00'),
('67890', '15.00'),
('29464', '19.00'),
('66414', '7.00'),
('25580', '14.00'),
('87120', '22.00'),
('10967', '15.00'),
('92555', '32.00'),
('90670', '17.00'),
('74606', '33.00'),
('69773', '50.00'),
('56138', '20.00'),
('86780', '46.00'),
('30251', '12.00'),
('36577', '29.00'),
('52213', '27.00'),
('40912', '48.00'),
('59520', '23.00'),
('68954', '11.00'),
('83726', '26.00'),
('14541', '28.00'),
('64658', '32.00'),
('83919', '43.00'),
('38723', '39.00'),
('21876', '28.00'),
('72943', '41.00'),
('33154', '23.00'),
('35131', '23.00'),
('21113', '29.00'),
('41717', '41.00'),
('17827', '27.00'),
('19961', '24.00'),
('36522', '42.00'),
('58461', '50.00'),
('95207', '39.00'),
('54402', '38.00'),
('28219', '27.00'),
('13337', '21.00'),
('89361', '42.00'),
('34685', '16.00'),
('49407', '45.00'),
('88077', '37.00'),
('12669', '30.00'),
('93997', '7.00'),
('98937', '23.00'),
('76383', '4.00'),
('59453', '30.00'),
('70623', '9.00'),
('52956', '26.00'),
('69972', '32.00'),
('76438', '40.00'),
('80367', '32.00'),
('90994', '40.00'),
('73750', '43.00'),
('91922', '37.00'),
('96388', '22.00'),
('57904', '37.00'),
('70797', '13.00'),
('22962', '8.00'),
('39749', '7.00'),
('48632', '49.00'),
('95858', '6.00'),
('36299', '28.00'),
('86289', '12.00'),
('28587', '36.00'),
('36354', '35.00'),
('50762', '22.00'),
('85646', '8.00'),
('86190', '11.00'),
('18827', '21.00'),
('14510', '38.00'),
('12451', '13.00'),
('92449', '30.00'),
('22672', '33.00'),
('95214', '30.00'),
('51482', '41.00'),
('23886', '50.00'),
('68045', '38.00'),
('43498', '21.00'),
('83042', '13.00'),
('84172', '36.00'),
('75478', '43.00'),
('40599', '4.00'),
('64123', '3.00'),
('50266', '32.00'),
('43415', '27.00'),
('56224', '11.00'),
('63022', '2.00'),
('74342', '11.00'),
('87078', '47.00'),
('70359', '15.00'),
('36171', '15.00'),
('81524', '31.00'),
('58803', '24.00'),
('55873', '9.00'),
('35084', '17.00'),
('66933', '8.00'),
('97848', '33.00'),
('25587', '21.00'),
('85113', '2.00'),
('92056', '25.00'),
('74893', '30.00'),
('43488', '46.00'),
('16995', '15.00'),
('76510', '29.00'),
('35758', '37.00'),
('52494', '31.00'),
('13412', '38.00'),
('90135', '41.00'),
('79334', '4.00'),
('46393', '15.00'),
('88715', '35.00'),
('43850', '10.00'),
('38157', '6.00'),
('44456', '34.00'),
('94073', '17.00'),
('13011', '7.00'),
('35183', '20.00'),
('59944', '20.00'),
('76292', '19.00'),
('38355', '17.00'),
('59325', '18.00'),
('90324', '36.00'),
('34758', '31.00'),
('63682', '16.00'),
('11700', '21.00'),
('87751', '3.00'),
('39855', '43.00'),
('73553', '26.00'),
('16106', '23.00'),
('27548', '48.00'),
('76804', '17.00'),
('58641', '7.00'),
('36956', '41.00'),
('18871', '46.00'),
('72593', '20.00'),
('33343', '48.00'),
('30973', '18.00'),
('48856', '38.00'),
('30514', '10.00'),
('39864', '35.00'),
('40668', '3.00'),
('45689', '29.00'),
('31186', '46.00'),
('60238', '38.00'),
('50010', '10.00'),
('80067', '44.00'),
('52142', '29.00'),
('22505', '1.00'),
('89354', '11.00'),
('56224', '26.00'),
('60976', '19.00'),
('40912', '10.00'),
('40450', '50.00'),
('21790', '50.00'),
('34732', '18.00'),
('31986', '39.00'),
('73147', '37.00'),
('64848', '24.00'),
('47416', '34.00'),
('66552', '2.00'),
('98200', '5.00'),
('54548', '16.00'),
('30469', '27.00'),
('15003', '27.00'),
('52340', '40.00'),
('88209', '12.00'),
('10422', '2.00'),
('95988', '46.00'),
('81101', '15.00'),
('31538', '29.00'),
('88881', '29.00'),
('18421', '7.00'),
('81398', '26.00'),
('66360', '7.00'),
('44396', '47.00'),
('79303', '13.00'),
('92731', '48.00'),
('43794', '36.00'),
('49039', '21.00'),
('73207', '24.00'),
('41997', '41.00'),
('66755', '3.00'),
('91507', '33.00'),
('65570', '26.00'),
('45525', '33.00'),
('51345', '37.00'),
('72597', '34.00'),
('24485', '38.00'),
('68395', '27.00'),
('47054', '3.00'),
('90498', '46.00'),
('67366', '34.00'),
('74083', '7.00'),
('32427', '28.00'),
('37996', '43.00'),
('88905', '47.00'),
('30381', '36.00'),
('42611', '8.00'),
('83691', '18.00'),
('87989', '16.00'),
('83991', '20.00'),
('87478', '40.00'),
('40639', '43.00'),
('73092', '6.00'),
('25973', '47.00'),
('21618', '42.00'),
('71908', '12.00'),
('29734', '38.00'),
('15268', '31.00'),
('74145', '27.00'),
('59465', '7.00'),
('18102', '40.00'),
('84182', '48.00'),
('28946', '41.00'),
('23517', '5.00'),
('71563', '12.00'),
('96780', '8.00'),
('19601', '16.00'),
('50341', '30.00'),
('59642', '49.00'),
('43001', '14.00'),
('66504', '4.00'),
('44406', '21.00'),
('37069', '46.00'),
('32600', '35.00'),
('98134', '26.00'),
('99787', '49.00'),
('61054', '28.00'),
('23822', '41.00'),
('19306', '15.00'),
('48919', '10.00'),
('55627', '17.00'),
('35356', '42.00'),
('36529', '2.00'),
('60680', '24.00'),
('57071', '24.00'),
('51274', '28.00'),
('40928', '45.00'),
('15307', '4.00'),
('12668', '46.00'),
('47772', '30.00'),
('97784', '33.00'),
('80368', '44.00'),
('97824', '30.00'),
('26806', '10.00'),
('80318', '35.00'),
('17143', '9.00'),
('16018', '50.00'),
('56922', '14.00'),
('83488', '1.00'),
('51915', '42.00'),
('83365', '1.00'),
('73351', '24.00'),
('87527', '24.00'),
('20083', '37.00'),
('59450', '49.00'),
('65202', '38.00'),
('77034', '26.00'),
('37779', '21.00'),
('65267', '11.00'),
('61551', '15.00'),
('17009', '23.00'),
('98620', '50.00'),
('47428', '16.00'),
('93011', '11.00'),
('90419', '12.00'),
('99438', '30.00'),
('50165', '19.00'),
('97943', '21.00'),
('77415', '31.00'),
('55866', '18.00'),
('41166', '2.00'),
('99298', '11.00'),
('38955', '1.00'),
